! Year   TT-UT1 (seconds)
1620   124.0
1621   119.0
1622   115.0
1623   110.0
1624   106.0
1625   102.0
1626   98.0
1627   95.0
1628   91.0
1629   88.0
1630   85.0
1631   82.0
1632   79.0
1633   77.0
1634   74.0
1635   72.0
1636   70.0
1637   67.0
1638   65.0
1639   63.0
1640   62.0
1641   60.0
1642   58.0
1643   57.0
1644   55.0
1645   54.0
1646   53.0
1647   51.0
1648   50.0
1649   49.0
1650   48.0
1651   47.0
1652   46.0
1653   45.0
1654   44.0
1655   43.0
1656   42.0
1657   41.0
1658   40.0
1659   38.0
1660   37.0
1661   36.0
1662   35.0
1663   34.0
1664   33.0
1665   32.0
1666   31.0
1667   30.0
1668   28.0
1669   27.0
1670   26.0
1671   25.0
1672   24.0
1673   23.0
1674   22.0
1675   21.0
1676   20.0
1677   19.0
1678   18.0
1679   17.0
1680   16.0
1681   15.0
1682   14.0
1683   14.0
1684   13.0
1685   12.0
1686   12.0
1687   11.0
1688   11.0
1689   10.0
1690   10.0
1691   10.0
1692   9.0
1693   9.0
1694   9.0
1695   9.0
1696   9.0
1697   9.0
1698   9.0
1699   9.0
1700   9.0
1701   9.0
1702   9.0
1703   9.0
1704   9.0
1705   9.0
1706   9.0
1707   9.0
1708   10.0
1709   10.0
1710   10.0
1711   10.0
1712   10.0
1713   10.0
1714   10.0
1715   10.0
1716   10.0
1717   11.0
1718   11.0
1719   11.0
1720   11.0
1721   11.0
1722   11.0
1723   11.0
1724   11.0
1725   11.0
1726   11.0
1727   11.0
1728   11.0
1729   11.0
1730   11.0
1731   11.0
1732   11.0
1733   11.0
1734   12.0
1735   12.0
1736   12.0
1737   12.0
1738   12.0
1739   12.0
1740   12.0
1741   12.0
1742   12.0
1743   12.0
1744   13.0
1745   13.0
1746   13.0
1747   13.0
1748   13.0
1749   13.0
1750   13.0
1751   14.0
1752   14.0
1753   14.0
1754   14.0
1755   14.0
1756   14.0
1757   14.0
1758   15.0
1759   15.0
1760   15.0
1761   15.0
1762   15.0
1763   15.0
1764   15.0
1765   16.0
1766   16.0
1767   16.0
1768   16.0
1769   16.0
1770   16.0
1771   16.0
1772   16.0
1773   16.0
1774   16.0
1775   17.0
1776   17.0
1777   17.0
1778   17.0
1779   17.0
1780   17.0
1781   17.0
1782   17.0
1783   17.0
1784   17.0
1785   17.0
1786   17.0
1787   17.0
1788   17.0
1789   17.0
1790   17.0
1791   17.0
1792   16.0
1793   16.0
1794   16.0
1795   16.0
1796   15.0
1797   15.0
1798   14.0
1799   14.0
1800   13.7
1801   13.4
1802   13.1
1803   12.9
1804   12.7
1805   12.6
1806   12.5
1807   12.5
1808   12.5
1809   12.5
1810   12.5
1811   12.5
1812   12.5
1813   12.5
1814   12.5
1815   12.5
1816   12.5
1817   12.4
1818   12.3
1819   12.2
1820   12.0
1821   11.7
1822   11.4
1823   11.1
1824   10.6
1825   10.2
1826   9.6
1827   9.1
1828   8.6
1829   8.0
1830   7.5
1831   7.0
1832   6.6
1833   6.3
1834   6.0
